Expenses_Date,Expenses_Amount,Expenses_Description,Expenses_Category,Day_Type
05/02/2025,320.00,Food,Week 1 (2-8),Regular
05/02/2025,100.00,Damit,Personal,Regular
05/02/2025,52.00,Transpo,Transportation,Regular
06/02/2025,382.00,Food,Week 1 (2-8),School
06/02/2025,119.00,Print,School,School
07/02/2025,536.00,Food,Week 1 (2-8),School
08/02/2025,100.00,Print,School,Weekend
08/02/2025,60.00,Food,Week 1 (2-8),Weekend
08/02/2025,90.00,Transpo ,Transportation,Weekend
09/02/2025,296.00,Food,Personal,Weekend
09/02/2025,100.00,Medyas,Personal,Weekend
09/02/2025,35.00,Transpo,Transportation,Weekend
10/02/2025,415.00,Food,Week 2 (9-15),School
10/02/2025,25.00,Transpo,Transportation,School
10/02/2025,80.00,Print,School,School
10/02/2025,200.00,Laundry,Laundry,School
11/02/2025,410.00,Food,Week 2 (9-15),School
11/02/2025,432.00,Water for Comms,School,School
13/02/2025,150.00,Food,Week 2 (9-15),School
13/02/2025,"1,000.00",Food for Comms,School,School
13/02/2025,110.00,Transpo ,Transportation,School
13/02/2025,100.00,Print,School,School
13/02/2025,602.00,Grocery ,Grocery,School
15/02/2025,340.00,Food,Week 2 (9-15),Weekend
15/02/2025,"2,000.00",Nationalian's Choice,Personal,Weekend
15/02/2025,600.00,,Personal,Weekend
15/02/2025,100.00,Beed Card Load,Transportation,Weekend
15/02/2025,330.00,Food,Week 2 (9-15),Weekend
16/02/2025,336.00,Transpo,Transportation,Weekend
16/02/2025,140.00,Food,Personal,Weekend
16/02/2025,350.00,UAAP Tix,Personal,Weekend
17/02/2025,100.00,Transpo,Transportation,School
17/02/2025,95.00,Food,Week 3 (16-22),School
17/02/2025,100.00,Bidet ,Personal,School
17/02/2025,175.00,Bowling,Personal,School
18/02/2025,440.00,Transpo ,School,School
18/02/2025,359.00,Food,Week 3 (16-22),School
19/02/2025,261.00,Food,Week 3 (16-22),Regular
19/02/2025,60.00,Training,School,Regular
20/02/2025,194.00,Food,Week 3 (16-22),School
21/02/2025,295.00,Food,Week 3 (16-22),School
21/02/2025,51.00,Print,School,School
21/02/2025,550.00,Meralco Load,Power Bill,School
22/02/2025,265.00,Transpo,Transportation,Weekend
